PWM,V_out,V_d,I_d_mA
324,0.6673,0.6664,0.0037
325,0.6697,0.6705,0
326,0.6713,0.6721,0
327,0.6729,0.6737,0
328,0.6769,0.6753,0.0074
329,0.6769,0.6793,0
330,0.6793,0.6793,0
331,0.681,0.6826,0
332,0.6834,0.6842,0
333,0.6858,0.6858,0
334,0.6882,0.689,0
335,0.6898,0.6898,0
336,0.693,0.6922,0.0037
337,0.6947,0.6955,0
338,0.6963,0.6963,0
339,0.6971,0.6987,0
340,0.6995,0.7011,0
341,0.7027,0.7019,0.0037
342,0.7051,0.7043,0.0037
343,0.7067,0.7067,0
344,0.7075,0.7092,0
345,0.7108,0.7108,0
346,0.7124,0.7116,0.0037
347,0.7164,0.7116,0.0221
348,0.7164,0.7172,0
349,0.718,0.7188,0
350,0.7196,0.7204,0
351,0.7229,0.7229,0
352,0.7253,0.7261,0
353,0.7261,0.7269,0
354,0.7293,0.7285,0.0037
355,0.7309,0.7317,0
356,0.7325,0.7333,0
357,0.7349,0.7341,0.0037
358,0.7382,0.7374,0.0037
359,0.7382,0.7398,0
360,0.7406,0.7422,0
361,0.7438,0.7462,0
362,0.7462,0.7462,0
363,0.7478,0.747,0.0037
364,0.7503,0.7486,0.0074
365,0.7519,0.7511,0.0037
366,0.7543,0.7543,0
367,0.7559,0.7559,0
368,0.7567,0.7583,0
369,0.7591,0.7607,0
370,0.7615,0.7623,0
371,0.764,0.7648,0
372,0.7656,0.7664,0
373,0.768,0.7696,0
374,0.7704,0.7704,0
375,0.7728,0.7728,0
376,0.7744,0.772,0.0111
377,0.776,0.7785,0
378,0.7785,0.7793,0
379,0.7809,0.7801,0.0037
380,0.7817,0.7841,0
381,0.7849,0.7849,0
382,0.7865,0.7865,0
383,0.7897,0.7897,0
384,0.7914,0.7914,0
385,0.7954,0.7938,0.0074
386,0.7954,0.7962,0
387,0.7962,0.7978,0
388,0.7986,0.8002,0
389,0.8002,0.8002,0
390,0.8026,0.8026,0
391,0.8067,0.8051,0.0074
392,0.8075,0.8067,0.0037
393,0.8091,0.8099,0
394,0.8123,0.8123,0
395,0.8131,0.8139,0
396,0.8155,0.8147,0.0037
397,0.8171,0.8179,0
398,0.8204,0.8204,0
399,0.822,0.822,0
400,0.8236,0.8244,0
401,0.826,0.826,0
402,0.83,0.8284,0.0074
403,0.83,0.83,0
404,0.8308,0.8316,0
405,0.8341,0.8341,0
406,0.8357,0.8365,0
407,0.8389,0.8389,0
408,0.8405,0.8413,0
409,0.8429,0.8421,0.0037
410,0.8453,0.8462,0
411,0.847,0.8462,0.0037
412,0.8486,0.8486,0
413,0.851,0.851,0
414,0.8526,0.8534,0
415,0.8558,0.8558,0
416,0.8558,0.8566,0
417,0.8574,0.859,0
418,0.8615,0.8607,0.0037
419,0.8631,0.8639,0
420,0.8647,0.8663,0
421,0.8679,0.8679,0
422,0.8695,0.8687,0.0037
423,0.8711,0.8719,0
424,0.8736,0.8744,0
425,0.8736,0.876,0
426,0.8784,0.8792,0
427,0.88,0.8768,0.0148
428,0.8808,0.8816,0
429,0.884,0.884,0
430,0.8848,0.8864,0
431,0.8881,0.8873,0.0037
432,0.8905,0.8905,0
433,0.8937,0.8921,0.0074
434,0.8961,0.8937,0.0111
435,0.8929,0.8961,0
436,0.8993,0.8985,0.0037
437,0.901,0.901,0
438,0.9018,0.9042,0
439,0.9058,0.905,0.0037
440,0.9066,0.9066,0
441,0.909,0.909,0
442,0.9098,0.9106,0
443,0.913,0.913,0
444,0.9147,0.9138,0.0037
445,0.9179,0.9179,0
446,0.9187,0.9171,0.0074
447,0.9211,0.9211,0
448,0.9235,0.9227,0.0037
449,0.9251,0.9259,0
450,0.9267,0.9267,0
451,0.9267,0.93,0
452,0.9316,0.9308,0.0037
453,0.9332,0.934,0
454,0.9332,0.9364,0
455,0.9372,0.9364,0.0037
456,0.9396,0.9388,0.0037
457,0.9421,0.9412,0.0037
458,0.9437,0.9445,0
459,0.9469,0.9437,0.0148
460,0.9477,0.9477,0
461,0.9501,0.9501,0
462,0.9525,0.9517,0.0037
463,0.9525,0.9541,0
464,0.9566,0.9566,0
465,0.9598,0.9574,0.0111
466,0.9606,0.9614,0
467,0.9622,0.9622,0
468,0.9638,0.9646,0
469,0.9662,0.9654,0.0037
470,0.9695,0.9686,0.0037
471,0.9711,0.9711,0
472,0.9711,0.9735,0
473,0.9743,0.9767,0
474,0.9767,0.9767,0
475,0.9799,0.9799,0
476,0.9791,0.9799,0
477,0.9823,0.9832,0
478,0.9848,0.9856,0
479,0.9872,0.9872,0
480,0.9896,0.9896,0
481,0.992,0.9912,0.0037
482,0.9928,0.9928,0
483,0.996,0.9952,0.0037
484,0.9977,0.9968,0.0037
485,0.9993,0.9985,0.0037
486,1.0009,1.0009,0
487,1.0033,1.0033,0
488,1.0065,1.0057,0.0037
489,1.0081,1.0105,0
490,1.0097,1.0105,0
491,1.0114,1.0122,0
492,1.013,1.0146,0
493,1.017,1.0162,0.0037
494,1.0186,1.0186,0
495,1.0202,1.0202,0
496,1.0218,1.0226,0
497,1.0251,1.0259,0
498,1.0259,1.0259,0
499,1.0275,1.0283,0
500,1.0291,1.0307,0
501,1.0323,1.0331,0
502,1.0339,1.0347,0
503,1.0363,1.0371,0
504,1.0388,1.0388,0
505,1.0412,1.0404,0.0037
506,1.0428,1.0428,0
507,1.0444,1.0444,0
508,1.0468,1.0468,0
509,1.0492,1.05,0
510,1.05,1.0508,0
511,1.0516,1.0525,0
512,1.0549,1.0533,0.0074
513,1.0581,1.0573,0.0037
514,1.0621,1.0597,0.0111
515,1.0613,1.0613,0
516,1.0629,1.0637,0
517,1.0662,1.0653,0.0037
518,1.0678,1.0686,0
519,1.0702,1.0702,0
520,1.0702,1.0718,0
521,1.075,1.0742,0.0037
522,1.0758,1.0782,0
523,1.0782,1.0782,0
524,1.0799,1.0807,0
525,1.0823,1.0823,0
526,1.0839,1.0847,0
527,1.0855,1.0847,0.0037
528,1.0879,1.0887,0
529,1.0895,1.0895,0
530,1.0927,1.0911,0.0074
531,1.0952,1.0944,0.0037
532,1.0952,1.096,0
533,1.0984,1.0976,0.0037
534,1.1,1.1,0
535,1.1024,1.1024,0
536,1.104,1.1056,0
537,1.1064,1.1073,0
538,1.1081,1.1113,0
539,1.1097,1.1073,0.0111
540,1.1129,1.1121,0.0037
541,1.1153,1.1145,0.0037
542,1.1177,1.1169,0.0037
543,1.1193,1.1193,0
544,1.1218,1.1218,0
545,1.1218,1.1242,0
546,1.1274,1.125,0.0111
547,1.125,1.1282,0
548,1.129,1.129,0
549,1.1314,1.1314,0
550,1.133,1.133,0
551,1.1355,1.1347,0.0037
552,1.1379,1.1379,0
553,1.1387,1.1403,0
554,1.1411,1.1411,0
555,1.1435,1.1427,0.0037
556,1.1451,1.1459,0
557,1.1467,1.1467,0
558,1.1484,1.1492,0
559,1.1524,1.1524,0
560,1.1548,1.154,0.0037
561,1.1556,1.1564,0
562,1.1572,1.1572,0
563,1.158,1.1612,0
564,1.1621,1.1629,0
565,1.1645,1.1629,0.0074
566,1.1669,1.1661,0.0037
567,1.1677,1.1693,0
568,1.1701,1.1701,0
569,1.1725,1.1717,0.0037
570,1.1741,1.1749,0
571,1.1758,1.1733,0.0111
572,1.1782,1.179,0
573,1.1806,1.1806,0
574,1.1838,1.1838,0
575,1.1846,1.1838,0.0037
576,1.187,1.187,0
577,1.1903,1.1886,0.0074
578,1.1911,1.1911,0
579,1.1919,1.1927,0
580,1.1959,1.1951,0.0037
581,1.1975,1.1975,0
582,1.1999,1.1999,0
583,1.2023,1.2007,0.0074
584,1.204,1.2032,0.0037
585,1.2048,1.208,0
586,1.208,1.2072,0.0037
587,1.2096,1.2096,0
588,1.212,1.2104,0.0074
589,1.2144,1.2136,0.0037
590,1.216,1.2136,0.0111
591,1.2185,1.2185,0
592,1.2201,1.2209,0
593,1.2233,1.2225,0.0037
594,1.2241,1.2241,0
595,1.2249,1.2265,0
596,1.2273,1.2281,0
597,1.2297,1.2305,0
598,1.233,1.2322,0.0037
599,1.2346,1.2346,0
600,1.2354,1.2378,0
601,1.2386,1.2402,0
602,1.241,1.2402,0.0037
603,1.2418,1.2434,0
604,1.2451,1.2451,0
605,1.2467,1.2467,0
606,1.2483,1.2491,0
607,1.2515,1.2515,0
